id,text,source
1,This is a document about machine learning.,Book
2,Here we discuss the basics of artificial intelligence.,Article
3,This text is all about natural language processing.,Book
4,Deep learning techniques are advancing rapidly.,Article
5,AI is transforming various industries.,Report
6,Machine learning provides systems the ability to learn and improve from experience.,Article
7,Understanding AI and ML is crucial for modern technology.,Book
8,Data science integrates domain knowledge programming skills and math.,Report
9,Big data and analytics are essential for extracting insights.,Article
10,The future of AI includes ethical considerations and challenges.,Book
